Fecha	PROYECTO	Split/Skill	Intervalo inicial	Llamadas Recibidas	Llamadas Atendidas	% llamadas resp.	Vel. prom. de resp.	Tiempo ACD	ACWINTIME	Tiempo de reten.	Tiempo prom. de ACD	LLamadas Umbral	ACD Calls 0 - 5 sec.	ACD Calls 6 - 10 sec.	ACD Calls 11 - 20 sec.	ACD Calls 21 - 30 sec.	ACD Calls 31 -60 sec.	ACD Calls > 60 sec.	% Nivel de servicio sin ABN < 20	% Fuera de nivel de servicio sin ABN < 20	% Dentro del nivel de servicio	% Fuera del Nivel de Servicio	Llamadas aban.	% llamadas aban.	Tiempo prom. de aban.	Aban Calls 0 - 5 sec.	Aban Calls 6 - 10 sec.	Aban Calls 11 - 20 sec.	Aban Calls 21 - 30 sec.	Aban Calls 31 -60 sec.	Aban Calls > 60 sec.	Llamadas de salida de la extn	Tiempo de salida de la extn	Trans. de salida	Llamadas retenidas	HOLDABNCALLS	Max Conectados	Max Conectados TOP	Máx Espera	Demora máxima	Atendidas del vector	Tiempo con personal	"Break"	Tiempo dispon.
11/1/2019	B2B N1 Medios Voz	3302	12:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1138
11/1/2019	B2B N1 VIP	3305	12:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	2700	0	1138
11/1/2019	B2B Fibra	3314	12:30 AM	2	2	100	0	72	0	0	36	2	2	0	0	0	0	0	100.00	.00	100.00	.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1800	0	739
11/1/2019	B2B MDR Cierre	3310	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	739
11/1/2019	B2B MDR Edatel	3312	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	739
11/1/2019	B2B MDR Soporte	3311	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	739
11/1/2019	B2B N1 Bajos	3304	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1800	0	739
11/1/2019	B2B N1 Edatel Avanz	3306	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Edatel Basico	3307	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Medios Conect	3301	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	739
11/1/2019	B2B N1 Medios Datace	3303	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	900	0	900
11/1/2019	B2B N1 Medios Voz	3302	12:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	739
11/1/2019	B2B N1 VIP	3305	12:30 AM	1	1	100	0	979	0	0	979	1	1	0	0	0	0	0	100.00	.00	100.00	.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2700	0	739
11/1/2019	B2B Fibra	3314	12:45 AM	1	1	100	0	1014	0	0	1014	1	1	0	0	0	0	0	100.00	.00	100.00	.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1365
11/1/2019	B2B MDR Cierre	3310	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1365
11/1/2019	B2B MDR Edatel	3312	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1365
11/1/2019	B2B MDR Soporte	3311	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1365
11/1/2019	B2B N1 Bajos	3304	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1800	0	1365
11/1/2019	B2B N1 Edatel Avanz	3306	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Edatel Basico	3307	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Medios Conect	3301	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1365
11/1/2019	B2B N1 Medios Datace	3303	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	900	0	900
11/1/2019	B2B N1 Medios Voz	3302	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1365
11/1/2019	B2B N1 VIP	3305	12:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2700	0	1365
11/1/2019	B2B Fibra	3314	1:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1800	0	391
11/1/2019	B2B MDR Cierre	3310	1:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	391
11/1/2019	B2B MDR Edatel	3312	1:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	391
11/1/2019	B2B MDR Soporte	3311	1:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	391
11/1/2019	B2B N1 Bajos	3304	1:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1800	0	391
11/1/2019	B2B N1 Edatel Avanz	3306	1:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Edatel Basico	3307	1:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Medios Conect	3301	1:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	391
11/1/2019	B2B N1 Medios Datace	3303	1:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	900	0	900
11/1/2019	B2B N1 Medios Voz	3302	1:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	391
11/1/2019	B2B N1 VIP	3305	1:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2700	0	391
11/1/2019	B2B Fibra	3314	1:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	5
11/1/2019	B2B MDR Cierre	3310	1:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	5
11/1/2019	B2B MDR Edatel	3312	1:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	5
11/1/2019	B2B MDR Soporte	3311	1:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	5
11/1/2019	B2B N1 Bajos	3304	1:15 AM	1	1	100	419	274	0	0	274	0	0	0	0	0	0	1	.00	100.00	.00	100.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	419	1	1800	0	5
11/1/2019	B2B N1 Edatel Avanz	3306	1:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Edatel Basico	3307	1:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Medios Conect	3301	1:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	5
11/1/2019	B2B N1 Medios Datace	3303	1:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	900	0	900
11/1/2019	B2B N1 Medios Voz	3302	1:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	5
11/1/2019	B2B N1 VIP	3305	1:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2700	0	5
11/1/2019	B2B Fibra	3314	1:30 AM	1	1	100	0	1717	0	0	1717	1	1	0	0	0	0	0	100.00	.00	100.00	.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1362
11/1/2019	B2B MDR Cierre	3310	1:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1362
11/1/2019	B2B MDR Edatel	3312	1:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1362
11/1/2019	B2B MDR Soporte	3311	1:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1362
11/1/2019	B2B N1 Bajos	3304	1:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1800	0	1362
11/1/2019	B2B N1 Edatel Avanz	3306	1:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Edatel Basico	3307	1:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Medios Conect	3301	1:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1362
11/1/2019	B2B N1 Medios Datace	3303	1:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	900	0	900
11/1/2019	B2B N1 Medios Voz	3302	1:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1362
11/1/2019	B2B N1 VIP	3305	1:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2700	0	1362
11/1/2019	B2B Fibra	3314	1:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B MDR Cierre	3310	1:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B MDR Edatel	3312	1:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B MDR Soporte	3311	1:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B N1 Bajos	3304	1:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1800	0	1800
11/1/2019	B2B N1 Edatel Avanz	3306	1:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Edatel Basico	3307	1:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Medios Conect	3301	1:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B N1 Medios Datace	3303	1:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	900	0	900
11/1/2019	B2B N1 Medios Voz	3302	1:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B N1 VIP	3305	1:45 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2700	0	1800
11/1/2019	B2B Fibra	3314	2:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B MDR Cierre	3310	2:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B MDR Edatel	3312	2:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B MDR Soporte	3311	2:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B N1 Bajos	3304	2:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1800	0	1800
11/1/2019	B2B N1 Edatel Avanz	3306	2:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Edatel Basico	3307	2:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Medios Conect	3301	2:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B N1 Medios Datace	3303	2:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	900	0	900
11/1/2019	B2B N1 Medios Voz	3302	2:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B N1 VIP	3305	2:00 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2700	0	1800
11/1/2019	B2B Fibra	3314	2:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B MDR Cierre	3310	2:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B MDR Edatel	3312	2:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B MDR Soporte	3311	2:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B N1 Bajos	3304	2:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1800	0	1800
11/1/2019	B2B N1 Edatel Avanz	3306	2:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Edatel Basico	3307	2:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11/1/2019	B2B N1 Medios Conect	3301	2:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B N1 Medios Datace	3303	2:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	900	0	900
11/1/2019	B2B N1 Medios Voz	3302	2:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B N1 VIP	3305	2:15 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2700	0	1800
11/1/2019	B2B Fibra	3314	2:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B MDR Cierre	3310	2:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
11/1/2019	B2B MDR Edatel	3312	2:30 AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1800	0	1800
